driverId,points,position,positionText,wins
vettel,256.0,1,1,5
alonso,252.0,2,2,5
webber,242.0,3,3,4
hamilton,240.0,4,4,3
button,214.0,5,5,2
massa,144.0,6,6,0
rosberg,142.0,7,7,0
kubica,136.0,8,8,0
michael_schumacher,72.0,9,9,0
barrichello,47.0,10,10,0
sutil,47.0,11,11,0
kobayashi,32.0,12,12,0
petrov,27.0,13,13,0
hulkenberg,22.0,14,14,0
liuzzi,21.0,15,15,0
buemi,8.0,16,16,0
rosa,6.0,17,17,0
heidfeld,6.0,18,18,0
alguersuari,5.0,19,19,0
kovalainen,0.0,20,20,0
trulli,0.0,21,21,0
chandhok,0.0,22,22,0
bruno_senna,0.0,23,23,0
grassi,0.0,24,24,0
glock,0.0,25,25,0
yamamoto,0.0,26,26,0
klien,0.0,27,27,0
vettel,392.0,1,1,11
button,270.0,2,2,3
webber,258.0,3,3,1
alonso,257.0,4,4,1
hamilton,227.0,5,5,3
massa,118.0,6,6,0
rosberg,89.0,7,7,0
michael_schumacher,76.0,8,8,0
sutil,42.0,9,9,0
petrov,37.0,10,10,0
heidfeld,34.0,11,11,0
kobayashi,30.0,12,12,0
resta,27.0,13,13,0
alguersuari,26.0,14,14,0
buemi,15.0,15,15,0
perez,14.0,16,16,0
barrichello,4.0,17,17,0
bruno_senna,2.0,18,18,0
maldonado,1.0,19,19,0
rosa,0.0,20,20,0
trulli,0.0,21,21,0
kovalainen,0.0,22,22,0
liuzzi,0.0,23,23,0
ambrosio,0.0,24,24,0
glock,0.0,25,25,0
karthikeyan,0.0,26,26,0
ricciardo,0.0,27,27,0
chandhok,0.0,28,28,0
vettel,281.0,1,1,5
alonso,278.0,2,2,3
raikkonen,207.0,3,3,1
hamilton,190.0,4,4,4
button,188.0,5,5,3
webber,179.0,6,6,2
massa,122.0,7,7,0
grosjean,96.0,8,8,0
rosberg,93.0,9,9,1
perez,66.0,10,10,0
hulkenberg,63.0,11,11,0
kobayashi,60.0,12,12,0
michael_schumacher,49.0,13,13,0
resta,46.0,14,14,0
maldonado,45.0,15,15,1
bruno_senna,31.0,16,16,0
vergne,16.0,17,17,0
ricciardo,10.0,18,18,0
petrov,0.0,19,19,0
glock,0.0,20,20,0
pic,0.0,21,21,0
kovalainen,0.0,22,22,0
ambrosio,0.0,23,23,0
karthikeyan,0.0,24,24,0
rosa,0.0,25,25,0
vettel,397.0,1,1,13
alonso,242.0,2,2,2
webber,199.0,3,3,0
hamilton,189.0,4,4,1
raikkonen,183.0,5,5,1
rosberg,171.0,6,6,2
grosjean,132.0,7,7,0
massa,112.0,8,8,0
button,73.0,9,9,0
hulkenberg,51.0,10,10,0
perez,49.0,11,11,0
resta,48.0,12,12,0
sutil,29.0,13,13,0
ricciardo,20.0,14,14,0
vergne,13.0,15,15,0
gutierrez,6.0,16,16,0
bottas,4.0,17,17,0
maldonado,1.0,18,18,0
jules_bianchi,0.0,19,19,0
pic,0.0,20,20,0
garde,0.0,21,21,0
kovalainen,0.0,22,22,0
chilton,0.0,23,23,0
hamilton,384.0,1,1,11
rosberg,317.0,2,2,5
ricciardo,238.0,3,3,3
bottas,186.0,4,4,0
vettel,167.0,5,5,0
alonso,161.0,6,6,0
massa,134.0,7,7,0
button,126.0,8,8,0
hulkenberg,96.0,9,9,0
perez,59.0,10,10,0
kevin_magnussen,55.0,11,11,0
raikkonen,55.0,12,12,0
vergne,22.0,13,13,0
grosjean,8.0,14,14,0
kvyat,8.0,15,15,0
maldonado,2.0,16,16,0
jules_bianchi,2.0,17,17,0
sutil,0.0,18,18,0
ericsson,0.0,19,19,0
gutierrez,0.0,20,20,0
chilton,0.0,21,21,0
kobayashi,0.0,22,22,0
stevens,0.0,23,23,0
lotterer,0.0,24,24,0
hamilton,381.0,1,1,10
rosberg,322.0,2,2,6
vettel,278.0,3,3,3
raikkonen,150.0,4,4,0
bottas,136.0,5,5,0
massa,121.0,6,6,0
kvyat,95.0,7,7,0
ricciardo,92.0,8,8,0
perez,78.0,9,9,0
hulkenberg,58.0,10,10,0
grosjean,51.0,11,11,0
max_verstappen,49.0,12,12,0
nasr,27.0,13,13,0
maldonado,27.0,14,14,0
sainz,18.0,15,15,0
button,16.0,16,16,0
alonso,11.0,17,17,0
ericsson,9.0,18,18,0
merhi,0.0,19,19,0
rossi,0.0,20,20,0
stevens,0.0,21,21,0
kevin_magnussen,0.0,22,22,0
rosberg,385.0,1,1,9
hamilton,380.0,2,2,10
ricciardo,256.0,3,3,1
vettel,212.0,4,4,0
max_verstappen,204.0,5,5,1
raikkonen,186.0,6,6,0
perez,101.0,7,7,0
bottas,85.0,8,8,0
hulkenberg,72.0,9,9,0
alonso,54.0,10,10,0
massa,53.0,11,11,0
sainz,46.0,12,12,0
grosjean,29.0,13,13,0
kvyat,25.0,14,14,0
button,21.0,15,15,0
kevin_magnussen,7.0,16,16,0
nasr,2.0,17,17,0
jolyon_palmer,1.0,18,18,0
wehrlein,1.0,19,19,0
vandoorne,1.0,20,20,0
gutierrez,0.0,21,21,0
ericsson,0.0,22,22,0
ocon,0.0,23,23,0
haryanto,0.0,24,24,0
hamilton,363.0,1,1,9
vettel,317.0,2,2,5
bottas,305.0,3,3,3
raikkonen,205.0,4,4,0
ricciardo,200.0,5,5,1
max_verstappen,168.0,6,6,2
perez,100.0,7,7,0
ocon,87.0,8,8,0
sainz,54.0,9,9,0
hulkenberg,43.0,10,10,0
massa,43.0,11,11,0
stroll,40.0,12,12,0
grosjean,28.0,13,13,0
kevin_magnussen,19.0,14,14,0
alonso,17.0,15,15,0
vandoorne,13.0,16,16,0
jolyon_palmer,8.0,17,17,0
wehrlein,5.0,18,18,0
kvyat,5.0,19,19,0
ericsson,0.0,20,20,0
gasly,0.0,21,21,0
giovinazzi,0.0,22,22,0
brendon_hartley,0.0,23,23,0
button,0.0,24,24,0
resta,0.0,25,25,0
hamilton,408.0,1,1,11
vettel,320.0,2,2,5
raikkonen,251.0,3,3,1
max_verstappen,249.0,4,4,2
bottas,247.0,5,5,0
ricciardo,170.0,6,6,2
hulkenberg,69.0,7,7,0
perez,62.0,8,8,0
kevin_magnussen,56.0,9,9,0
sainz,53.0,10,10,0
alonso,50.0,11,11,0
ocon,49.0,12,12,0
leclerc,39.0,13,13,0
grosjean,37.0,14,14,0
gasly,29.0,15,15,0
vandoorne,12.0,16,16,0
ericsson,9.0,17,17,0
stroll,6.0,18,18,0
brendon_hartley,4.0,19,19,0
sirotkin,1.0,20,20,0
hamilton,413.0,1,1,11
bottas,326.0,2,2,4
max_verstappen,278.0,3,3,3
leclerc,264.0,4,4,2
vettel,240.0,5,5,1
sainz,96.0,6,6,0
gasly,95.0,7,7,0
albon,92.0,8,8,0
ricciardo,54.0,9,9,0
perez,52.0,10,10,0
norris,49.0,11,11,0
raikkonen,43.0,12,12,0
kvyat,37.0,13,13,0
hulkenberg,37.0,14,14,0
stroll,21.0,15,15,0
kevin_magnussen,20.0,16,16,0
giovinazzi,14.0,17,17,0
grosjean,8.0,18,18,0
kubica,1.0,19,19,0
russell,0.0,20,20,0
hamilton,347.0,1,1,11
bottas,223.0,2,2,2
max_verstappen,214.0,3,3,2
perez,125.0,4,4,1
ricciardo,119.0,5,5,0
sainz,105.0,6,6,0
albon,105.0,7,7,0
leclerc,98.0,8,8,0
norris,97.0,9,9,0
gasly,75.0,10,10,1
stroll,75.0,11,11,0
ocon,62.0,12,12,0
vettel,33.0,13,13,0
kvyat,32.0,14,14,0
hulkenberg,10.0,15,15,0
raikkonen,4.0,16,16,0
giovinazzi,4.0,17,17,0
russell,3.0,18,18,0
grosjean,2.0,19,19,0
kevin_magnussen,1.0,20,20,0
latifi,0.0,21,21,0
aitken,0.0,22,22,0
pietro_fittipaldi,0.0,23,23,0
max_verstappen,,1,1,10
hamilton,,2,2,8
bottas,226.0,3,3,1
perez,190.0,4,4,1
sainz,,5,5,0
norris,160.0,6,6,0
leclerc,159.0,7,7,0
ricciardo,115.0,8,8,1
gasly,110.0,9,9,0
alonso,81.0,10,10,0
ocon,74.0,11,11,1
vettel,43.0,12,12,0
stroll,34.0,13,13,0
tsunoda,32.0,14,14,0
russell,16.0,15,15,0
raikkonen,10.0,16,16,0
latifi,7.0,17,17,0
giovinazzi,3.0,18,18,0
mick_schumacher,0.0,19,19,0
kubica,0.0,20,20,0
mazepin,0.0,21,21,0
max_verstappen,454.0,1,1,15
leclerc,308.0,2,2,3
perez,305.0,3,3,2
russell,275.0,4,4,1
sainz,246.0,5,5,1
hamilton,240.0,6,6,0
norris,122.0,7,7,0
ocon,92.0,8,8,0
alonso,81.0,9,9,0
bottas,49.0,10,10,0
ricciardo,37.0,11,11,0
vettel,37.0,12,12,0
kevin_magnussen,25.0,13,13,0
gasly,23.0,14,14,0
stroll,18.0,15,15,0
mick_schumacher,12.0,16,16,0
tsunoda,12.0,17,17,0
zhou,6.0,18,18,0
albon,4.0,19,19,0
latifi,2.0,20,20,0
de_vries,2.0,21,21,0
hulkenberg,0.0,22,22,0
