raceId,driverId,lap,position,time
Spanish Grand Prix,webber,1,1,1:31.460
Spanish Grand Prix,vettel,1,2,1:32.211
Spanish Grand Prix,hamilton,1,3,1:33.114
Spanish Grand Prix,alonso,1,4,1:33.939
Spanish Grand Prix,button,1,5,1:34.658
Spanish Grand Prix,michael_schumacher,1,6,1:35.377
Spanish Grand Prix,massa,1,7,1:36.207
Spanish Grand Prix,sutil,1,8,1:36.717
Spanish Grand Prix,alguersuari,1,9,1:37.513
Spanish Grand Prix,kubica,1,10,1:38.045
Spanish Grand Prix,rosberg,1,11,1:38.435
Spanish Grand Prix,barrichello,1,12,1:38.788
Spanish Grand Prix,hulkenberg,1,13,1:39.151
Spanish Grand Prix,liuzzi,1,14,1:40.048
Spanish Grand Prix,trulli,1,15,1:40.643
Spanish Grand Prix,kobayashi,1,16,1:40.998
Spanish Grand Prix,glock,1,17,1:41.687
Spanish Grand Prix,chandhok,1,18,1:43.759
Spanish Grand Prix,petrov,1,19,1:43.913
Spanish Grand Prix,grassi,1,20,1:44.668
Spanish Grand Prix,buemi,1,21,1:46.064
Spanish Grand Prix,rosa,1,22,2:11.181
Spanish Grand Prix,alonso,1,1,1:34.494
Spanish Grand Prix,vettel,1,2,1:35.274
Spanish Grand Prix,webber,1,3,1:36.329
Spanish Grand Prix,hamilton,1,4,1:36.991
Spanish Grand Prix,petrov,1,5,1:38.084
Spanish Grand Prix,michael_schumacher,1,6,1:38.633
Spanish Grand Prix,rosberg,1,7,1:39.139
Spanish Grand Prix,massa,1,8,1:39.979
Spanish Grand Prix,buemi,1,9,1:40.611
Spanish Grand Prix,button,1,10,1:40.998
Spanish Grand Prix,perez,1,11,1:41.433
Spanish Grand Prix,alguersuari,1,12,1:41.876
Spanish Grand Prix,maldonado,1,13,1:42.255
Spanish Grand Prix,resta,1,14,1:42.808
Spanish Grand Prix,trulli,1,15,1:43.553
Spanish Grand Prix,kovalainen,1,16,1:44.276
Spanish Grand Prix,heidfeld,1,17,1:45.164
Spanish Grand Prix,sutil,1,18,1:46.107
Spanish Grand Prix,liuzzi,1,19,1:46.737
Spanish Grand Prix,barrichello,1,20,1:47.077
Spanish Grand Prix,glock,1,21,1:47.556
Spanish Grand Prix,karthikeyan,1,22,1:48.183
Spanish Grand Prix,ambrosio,1,23,1:48.573
Spanish Grand Prix,kobayashi,1,24,1:57.590
Spanish Grand Prix,alonso,1,1,1:33.726
Spanish Grand Prix,maldonado,1,2,1:35.034
Spanish Grand Prix,raikkonen,1,3,1:36.119
Spanish Grand Prix,rosberg,1,4,1:37.175
Spanish Grand Prix,grosjean,1,5,1:38.392
Spanish Grand Prix,michael_schumacher,1,6,1:38.764
Spanish Grand Prix,vettel,1,7,1:39.378
Spanish Grand Prix,button,1,8,1:40.104
Spanish Grand Prix,kobayashi,1,9,1:40.542
Spanish Grand Prix,vergne,1,10,1:40.893
Spanish Grand Prix,massa,1,11,1:41.325
Spanish Grand Prix,webber,1,12,1:41.889
Spanish Grand Prix,resta,1,13,1:42.348
Spanish Grand Prix,hulkenberg,1,14,1:42.673
